RunID,m1,m2,k1,k2,alpha,beta_ray,omega1,omega2,zeta1,zeta2
125,1100,2200,200000,500000,4.356e-05,0.5196,10.2212743407685,19.8878241859371,0.025640193655419,0.0134964259532889
126,1100,2200,200000,500000,4.719e-05,0.5629,10.2212743407685,19.8878241859371,0.0277768764600373,0.014621128116063
127,1100,2200,220000,550000,2.904e-05,0.3464,10.7201629681726,20.8585259770632,0.0163121275694208,0.00860642474427924
128,1100,2200,220000,550000,3.267e-05,0.3897,10.7201629681726,20.8585259770632,0.0183511435155984,0.00968222783731414
129,1100,2200,220000,550000,3.63e-05,0.433,10.7201629681726,20.8585259770632,0.020390159461776,0.010758030930349
130,1100,2200,220000,550000,3.993e-05,0.4763,10.7201629681726,20.8585259770632,0.0224291754079536,0.011833834023384
131,1100,2200,220000,550000,4.356e-05,0.5196,10.7201629681726,20.8585259770632,0.0244681913541312,0.0129096371164189
132,1100,2200,220000,550000,4.719e-05,0.5629,10.7201629681726,20.8585259770632,0.0265072073003088,0.0139854402094538
133,1100,2200,240000,600000,2.904e-05,0.3464,11.1968450457754,21.7860198526692,0.0156312213026484,0.00826638543505958
134,1100,2200,240000,600000,3.267e-05,0.3897,11.1968450457754,21.7860198526692,0.0175851239654794,0.00929968361444203
135,1100,2200,240000,600000,3.63e-05,0.433,11.1968450457754,21.7860198526692,0.0195390266283105,0.0103329817938245
136,1100,2200,240000,600000,3.993e-05,0.4763,11.1968450457754,21.7860198526692,0.0214929292911415,0.0113662799732069
137,1100,2200,240000,600000,4.356e-05,0.5196,11.1968450457754,21.7860198526692,0.0234468319539725,0.0123995781525894
138,1100,2200,240000,600000,4.719e-05,0.5629,11.1968450457754,21.7860198526692,0.0254007346168036,0.0134328763319718
139,1100,2200,260000,650000,2.904e-05,0.3464,11.6540458165407,22.6756083954978,0.015031008326183,0.00796741314044432
140,1100,2200,260000,650000,3.267e-05,0.3897,11.6540458165407,22.6756083954978,0.0169098843669559,0.00896333978299986
141,1100,2200,260000,650000,3.63e-05,0.433,11.6540458165407,22.6756083954978,0.0187887604077288,0.0099592664255554
142,1100,2200,260000,650000,3.993e-05,0.4763,11.6540458165407,22.6756083954978,0.0206676364485016,0.0109551930681109
143,1100,2200,260000,650000,4.356e-05,0.5196,11.6540458165407,22.6756083954978,0.0225465124892745,0.0119511197106665
144,1100,2200,260000,650000,4.719e-05,0.5629,11.6540458165407,22.6756083954978,0.0244253885300474,0.012947046353222
145,1200,2400,160000,400000,2.904e-05,0.3464,8.75297641050094,17.0309151434643,0.0199146479733932,0.0104170301226321
146,1200,2400,160000,400000,3.267e-05,0.3897,8.75297641050094,17.0309151434643,0.0224039789700674,0.0117191588879611
147,1200,2400,160000,400000,3.63e-05,0.433,8.75297641050094,17.0309151434643,0.0248933099667415,0.0130212876532901
148,1200,2400,160000,400000,3.993e-05,0.4763,8.75297641050094,17.0309151434643,0.0273826409634157,0.0143234164186192
149,1200,2400,160000,400000,4.356e-05,0.5196,8.75297641050094,17.0309151434643,0.0298719719600899,0.0156255451839482
150,1200,2400,160000,400000,4.719e-05,0.5629,8.75297641050094,17.0309151434643,0.032361302956764,0.0169276739492772
151,1200,2400,180000,450000,2.904e-05,0.3464,9.28393346314665,18.0640133816344,0.0187906882485596,0.00985041346097263
152,1200,2400,180000,450000,3.267e-05,0.3897,9.28393346314665,18.0640133816344,0.0211395242796296,0.0110817151435942
153,1200,2400,180000,450000,3.63e-05,0.433,9.28393346314665,18.0640133816344,0.0234883603106995,0.0123130168262158
154,1200,2400,180000,450000,3.993e-05,0.4763,9.28393346314665,18.0640133816344,0.0258371963417694,0.0135443185088374
155,1200,2400,180000,450000,4.356e-05,0.5196,9.28393346314665,18.0640133816344,0.0281860323728394,0.014775620191459
156,1200,2400,180000,450000,4.719e-05,0.5629,9.28393346314665,18.0640133816344,0.0305348684039094,0.0160069218740805
157,1200,2400,200000,500000,2.904e-05,0.3464,9.7861251296661,19.0411419899084,0.0178406215539708,0.00937257046748604
158,1200,2400,200000,500000,3.267e-05,0.3897,9.7861251296661,19.0411419899084,0.0200706992482172,0.0105441417759218
159,1200,2400,200000,500000,3.63e-05,0.433,9.7861251296661,19.0411419899084,0.0223007769424635,0.0117157130843576
160,1200,2400,200000,500000,3.993e-05,0.4763,9.7861251296661,19.0411419899084,0.0245308546367099,0.0128872843927933
161,1200,2400,200000,500000,4.356e-05,0.5196,9.7861251296661,19.0411419899084,0.0267609323309562,0.0140588557012291
